street,suburb,postcode,price_data,price_num,State,nbn_score,price_month,price_month_gbp,price_diff_abs,price_diff_prop,Note
Adelaide, address available on request,NA,$750 per week,750,NA,NA,3.00E+03,1680,55,0.03,
Littlehampton, address available on request,NA,LEASE PENDING,NA,NA,NA,NA,NA,NA,NA,
4 Todd Place, Adelaide,5000,$495.00 per week,495,SA,0.56,1980,1108.8,626.2,0.36,P- modern beautiful - w stairs!
23A Hamley Street, Adelaide,5000,$425 per week,425,SA,0.56,1700,952,783,0.45,P - townhouse near T Bettany - no photos
5/81-85 Carrington Street, Adelaide,5000,$420 per week,420,SA,0.56,1680,940.8,794.2,0.46,P- furnished w communal sml pool - too small?
144 WRIGHT STREET, Adelaide,5000,$400 per week,400,SA,0.56,1600,896,839,0.48,P- No
13 Linton St, Banksia Park,5091,$350 per week,350,SA,1,1400,784,951,0.55,
429 Grenfell Road, Banksia Park,5091,$315.00,315,SA,1,1260,705.6,1029.4,0.59,
3 Verdun Street, Beulah Park,5067,$450 per week,450,NA,NA,1800,1008,727,0.42,
1/9 Aroha Terrace, Black Forest,5035,$400 per week,400,NA,NA,1600,896,839,0.48,
4 Rudford Street, Brighton,5048,$440 per week,440,SA,1,1760,985.6,749.4,0.43,P- big modern kitchen etc.
39 Press Road, Brooklyn Park,5032,$420 per week,420,SA,0,1680,940.8,794.2,0.46,
7/281 Henley Beach Road, Brooklyn Park,5032,$320 Per Week,320,SA,0,1280,716.8,1018.2,0.59,
11 Elston Street, Brooklyn Park,5032,$375 per week,375,SA,0,1500,840,895,0.52,
11 Reynolds Avenue, Brooklyn Park,5032,NA,NA,SA,0,NA,NA,NA,NA,
44 CLIFTON STREET, Camden Park,5038,$445 per week,445,SA,0.25,1780,996.8,738.2,0.43,
55B Capper Street, Camden Park,5038,$430 Per Week,430,SA,0.25,1720,963.2,771.8,0.44,
3A Fiscom Avenue, Camden Park,5038,$430 per week,430,SA,0.25,1720,963.2,771.8,0.44,
9/28 Clifton Street, Camden Park,5038,$320 per week,320,SA,0.25,1280,716.8,1018.2,0.59,
16 Catherine Street, Clapham,5062,$450 per week,450,SA,0.75,1800,1008,727,0.42,
308 Cross Road, Clarence Park,5034,$440 per week,440,SA,1,1760,985.6,749.4,0.43,
68 Harrow Road, College Park,5069,$430 per week,430,SA,0,1720,963.2,771.8,0.44,
111 Piccadilly Road, Crafers,5152,LEASED,NA,SA,0.4,NA,NA,NA,NA,
61 Avenue Road, Cumberland Park,5041,$410 Per week,410,SA,1,1640,918.4,816.6,0.47,
11C Clacton Road, Dover Gardens,5048,$440 per week,440,SA,1,1760,985.6,749.4,0.43,
46 Clacton Road, Dover Gardens,5048,$410 per week,410,SA,1,1640,918.4,816.6,0.47,
89 Folkestone Road, Dover Gardens,5048,$340 per week,340,SA,1,1360,761.6,973.4,0.56,
9 Eurilpa Ave, Everard Park,5035,$450 per week,450,NA,NA,1800,1008,727,0.42,
40 Baudin Avenue, Fairview Park,5126,$400 per week,400,NA,NA,1600,896,839,0.48,
27 Gwynne Street, Firle,5070,$350 Wk,350,SA,0.83,1400,784,951,0.55,
6 Foster Street, Forestville,5035,$400 per week,400,NA,NA,1600,896,839,0.48,
50 Charles Street, Forestville,5035,$380 per week,380,NA,NA,1520,851.2,883.8,0.51,
3 Kent Avenue, Fulham Gardens,5024,$400-$440,400,NA,NA,1600,896,839,0.48,
1  Motley Avenue, Fulham Gardens,5024,$450 per week,450,NA,NA,1800,1008,727,0.42,
11/35 Nile Street, Glenelg,5045,$350 per week,350,NA,NA,1400,784,951,0.55,
20D Colley Terrace, Glenelg,5045,$400 per week,400,NA,NA,1600,896,839,0.48,
60 Wilson Terrace, Glenelg East,5045,$400.00,400,NA,NA,1600,896,839,0.48,
56A Brighton Road, Glenelg East,5045,$420 Per Week,420,NA,NA,1680,940.8,794.2,0.46,
45  Pine Avenue, Glenelg North,5045,$410 - $430 pw,410,NA,NA,1640,918.4,816.6,0.47,
587 Anzac Highway, Glenelg North,5045,$400 per week,400,NA,NA,1600,896,839,0.48,
43 Hardy Avenue, Glengowrie,5044,$450 per week,450,NA,NA,1800,1008,727,0.42,
11/190 Morphett Road, Glengowrie,5044,$350-$370,350,NA,NA,1400,784,951,0.55,
2/34 Devon Street South, Goodwood,5034,$420 per week,420,SA,1,1680,940.8,794.2,0.46,W
162b goodwood rd, Goodwood,5034,$400 per week,400,SA,1,1600,896,839,0.48,
9 lines Street, Grange,5022,$430 per week,430,NA,NA,1720,963.2,771.8,0.44,
31 Swan Street, Grange,5022,NA,NA,NA,NA,NA,NA,NA,NA,
13 Osborne Street, Hackney,5069,$435 Per Week,435,SA,0,1740,974.4,760.6,0.44,
24 Ambleside Road, Hahndorf,5245,$400 /Wk,400,SA,0.67,1600,896,839,0.48,P - garden but cold
5A Northumberland Street, Heathpool,5068,$450 per week,450,NA,NA,1800,1008,727,0.42,
234 Military Road, Henley Beach,5022,$420.00 pets negotiable!,420,NA,NA,1680,940.8,794.2,0.46,
132 Cudmore Tce, Henley Beach,5022,$410 per week,410,NA,NA,1640,918.4,816.6,0.47,
602 Grange Road, Henley Beach,5022,$415 per week,415,NA,NA,1660,929.6,805.4,0.46,
1/204 Seaview Road, Henley Beach South,5022,$360 Per Week,360,NA,NA,1440,806.4,928.6,0.54,
23 Burt Avenue, Hilton,5033,$435 per week,435,NA,NA,1740,974.4,760.6,0.44,
1/2 West Street, Hindmarsh,5007,$440 p.w.,440,SA,0.82,1760,985.6,749.4,0.43,
1 Horn Street, Houghton,5131,$395 per week,395,SA,0,1580,884.8,850.2,0.49,
2/175 Kensington Road, Kensington,5068,$450,450,NA,NA,1800,1008,727,0.42,
10A Bowen Street, Kensington,5068,$400 per week,400,NA,NA,1600,896,839,0.48,
6 White Avenue, Kensington Gardens,5068,$445 p.w.,445,NA,NA,1780,996.8,738.2,0.43,
2/19-21 Kent Road, Keswick,5035,$390 per week,390,NA,NA,1560,873.6,861.4,0.5,
19  HAMPTON ROAD, Keswick,5035,$360 per week,360,NA,NA,1440,806.4,928.6,0.54,
53 Frogmore Road, Kidman Park,5025,$430 per week,430,SA,0,1720,963.2,771.8,0.44,
10 Assyrian Court, Kidman Park,5025,$450 per week,450,SA,0,1800,1008,727,0.42,
386 Grange Road, Kidman Park,5025,$380 per week,380,SA,0,1520,851.2,883.8,0.51,
4 Assyrian Court, Kidman Park,5025,$450 per week,450,SA,0,1800,1008,727,0.42,
4 Reddy Close, Littlehampton,5250,$410 per week,410,SA,1,1640,918.4,816.6,0.47,
1/4 Junction Road, Littlehampton,5250,$330 per week,330,SA,1,1320,739.2,995.8,0.57,P - public transport?
96 Jervois Terrace, Marino,5049,$400 per week,400,NA,NA,1600,896,839,0.48,
12 Dudley Crescent, Marino,5049,$420 per week,420,NA,NA,1680,940.8,794.2,0.46,
1/9 Burwash Avenue, Marryatville,5068,$420.00 per week,420,NA,NA,1680,940.8,794.2,0.46,
2/31 Henley Beach Road, Mile End,5031,$405,405,NA,NA,1620,907.2,827.8,0.48,
21 Junction Lane, Mile End,5031,$390.00,390,NA,NA,1560,873.6,861.4,0.5,
41 Gladstone Road, Mile End,5031,$420 Per Week,420,NA,NA,1680,940.8,794.2,0.46,
52 Victoria Street, Mile End,5031,$400 per week,400,NA,NA,1600,896,839,0.48,
25 Flaherty Lane, Mile End,5031,$400 per week,400,NA,NA,1600,896,839,0.48,
4 Henley St, Mile End,5031,$360-$380,360,NA,NA,1440,806.4,928.6,0.54,
37A Birdwood Street, Mitcham,5062,$420 per week,420,SA,0.75,1680,940.8,794.2,0.46,
7 Melrose Street, Modbury Heights,5092,$440 per week,440,SA,1,1760,985.6,749.4,0.43,
9  Swallow Avenue, Modbury Heights,5092,$430 per week,430,SA,1,1720,963.2,771.8,0.44,
30 Noya Avenue, Modbury Heights,5092,$420 / Wk,420,SA,1,1680,940.8,794.2,0.46,
1 Taurus Cres, Modbury Heights,5092,$390 per week,390,SA,1,1560,873.6,861.4,0.5,
3 Noya Avenue, Modbury Heights,5092,$365 per week,365,SA,1,1460,817.6,917.4,0.53,
103 Ladywood Road, Modbury Heights,5092,$350 / Wk,350,SA,1,1400,784,951,0.55,
20 Cumberland Avenue, Modbury Heights,5092,$330 pw,330,SA,1,1320,739.2,995.8,0.57,
6 Folkstone Street, Modbury Heights,5092,$320,320,SA,1,1280,716.8,1018.2,0.59,
29 Carribean Terrace, Modbury Heights,5092,$315,315,SA,1,1260,705.6,1029.4,0.59,
20a McNamara Street, Modbury Heights,5092,$310 per week,310,SA,1,1240,694.4,1040.6,0.6,
20 Jirra Place, Modbury North,5092,$410,410,SA,1,1640,918.4,816.6,0.47,
95 Warren Road, Modbury North,5092,$375 per week,375,SA,1,1500,840,895,0.52,
6 Corroboree Road, Modbury North,5092,$365 per week,365,SA,1,1460,817.6,917.4,0.53,
6 Solandra Way, Modbury North,5092,$350 / Wk,350,SA,1,1400,784,951,0.55,
9D Hendrie Street, Morphettville,5043,$450 Per Week,450,SA,0.78,1800,1008,727,0.42,
13 West Street, Mylor,5153,$395 p.w.,395,SA,0.33,1580,884.8,850.2,0.49,P- NBN? Opposite LDN
3/293 Melbourne Street, North Adelaide,5006,$440 p.w.,440,SA,0,1760,985.6,749.4,0.43,
2/293 Melbourne Street, North Adelaide,5006,$450 p.w. Furnished Townhouse,450,SA,0,1800,1008,727,0.42,
14 Murray Street, North Adelaide,5006,$410 per week,410,SA,0,1640,918.4,816.6,0.47,
321 Brighton Road, North Brighton,5048,$420.00 per week,420,SA,1,1680,940.8,794.2,0.46,
11 Colliver Street, Norwood,5067,$450 per week,450,NA,NA,1800,1008,727,0.42,
Unit 2/86 Queen Street, Norwood,5067,$450 per week,450,NA,NA,1800,1008,727,0.42,
3/108 Beulah Road, Norwood,5067,$425 per week,425,NA,NA,1700,952,783,0.45,
8/47 Elizabeth, Norwood,5067,$410 per week,410,NA,NA,1640,918.4,816.6,0.47,
2/97 William Street, Norwood,5067,$440 per week,440,NA,NA,1760,985.6,749.4,0.43,
13 Pemberton Street, Oaklands Park,5046,$395 p.w.,395,NA,NA,1580,884.8,850.2,0.49,
3 Renfrey Street, Oaklands Park,5046,$405 per week,405,NA,NA,1620,907.2,827.8,0.48,
7A Albany Crescent, Oaklands Park,5046,$400 per week,400,NA,NA,1600,896,839,0.48,
8 Jean Street, Oaklands Park,5046,$390 per week,390,NA,NA,1560,873.6,861.4,0.5,
10 St Helen Street, Parkside,5063,$440 per week,440,SA,1,1760,985.6,749.4,0.43,P - good outdoor 1 lvl
28 Fuller Street, Parkside,5063,$415 per week,415,SA,1,1660,929.6,805.4,0.46,
4/26 Regent Street, Parkside,5063,$410 per week,410,SA,1,1640,918.4,816.6,0.47,P - No
27 Devitt Avenue, Payneham South,5070,$400 per week,400,SA,0.83,1600,896,839,0.48,
4/7 Tarcoma Avenue, Payneham South,5070,$380,380,SA,0.83,1520,851.2,883.8,0.51,
42 Devitt Avenue, Payneham South,5070,$375 per week,375,SA,0.83,1500,840,895,0.52,
73 Luhrs Road, Payneham South,5070,$370 per week,370,SA,0.83,1480,828.8,906.2,0.52,
2/76 Coorara Avenue, Payneham South,5070,$350 per week,350,SA,0.83,1400,784,951,0.55,
17 Atkinson  St, Piccadilly,5151,$420 Weekly,420,SA,1,1680,940.8,794.2,0.46,
17/Gaylard Crescent, Redwood Park,5097,$445 pw 3 BRM 2 Bath 2ggeSOLARSavings,445,SA,0.83,1780,996.8,738.2,0.43,
24 Gaylard Crescent, Redwood Park,5097,$420 per week,420,SA,0.83,1680,940.8,794.2,0.46,
232 Hancock Rd, Redwood Park,5097,$370-400pw range,370,SA,0.83,1480,828.8,906.2,0.52,
44 Cooinda Avenue, Redwood Park,5097,$365,365,SA,0.83,1460,817.6,917.4,0.53,
14 Ronald Road, Redwood Park,5097,$350,350,SA,0.83,1400,784,951,0.55,
10 Eva Road, Redwood Park,5097,$350.00 Per Week,350,SA,0.83,1400,784,951,0.55,
31  Kingston Ave, Richmond,5033,$315 per week,315,NA,NA,1260,705.6,1029.4,0.59,
27 Lane Street, Richmond,5033,$370 Per Week,370,NA,NA,1480,828.8,906.2,0.52,
171 Marion Road, Richmond,5033,$400 per week,400,NA,NA,1600,896,839,0.48,
34 Shierlaw Street, Richmond,5033,$395 per week,395,NA,NA,1580,884.8,850.2,0.49,
50 Shierlaw Street, Richmond,5033,$450 per week,450,NA,NA,1800,1008,727,0.42,
4a Ashley Avenue, Ridgehaven,5097,$430 per week,430,SA,0.83,1720,963.2,771.8,0.44,
3/1045 Northeast Road, Ridgehaven,5097,$370 per week,370,SA,0.83,1480,828.8,906.2,0.52,
3/3 Claire Street, Ridgehaven,5097,$320 per week,320,SA,0.83,1280,716.8,1018.2,0.59,
22 Park Avenue, Rosslyn Park,5072,$450 per week,450,NA,NA,1800,1008,727,0.42,
64 Davenport Terrace, Seacliff Park,5049,$420 per week,420,NA,NA,1680,940.8,794.2,0.46,
18 Ocean Boulevard, Seacliff Park,5049,$420 p.w.,420,NA,NA,1680,940.8,794.2,0.46,
4 Ophir Crescent, Seacliff Park,5049,$420 per week,420,NA,NA,1680,940.8,794.2,0.46,
35 Russell Avenue, Seacombe Gardens,5047,$325 per week,325,NA,NA,1300,728,1007,0.58,
67 Ramsay Avenue, Seacombe Gardens,5047,$410.00 Per Week,410,NA,NA,1640,918.4,816.6,0.47,
3 Windemere Street, Seacombe Gardens,5047,$325 per week,325,NA,NA,1300,728,1007,0.58,
15B Marinoff Street, Seaton,5023,$450 per week,450,SA,1,1800,1008,727,0.42,
4/1 Seaton Terrace, Seaton,5023,$440 per week,440,SA,1,1760,985.6,749.4,0.43,
1/212 Trimmer Parade, Seaton,5023,$430 per week,430,SA,1,1720,963.2,771.8,0.44,
38 Todville Street, Seaton,5023,$420 PW,420,SA,1,1680,940.8,794.2,0.46,
9 Rositano avenue, Seaton,5023,$420 per week,420,SA,1,1680,940.8,794.2,0.46,
1/23 Seaton Terrace, Seaton,5023,$415 per week,415,SA,1,1660,929.6,805.4,0.46,
7 Findon Avenue, Seaton,5023,$410 per week,410,SA,1,1640,918.4,816.6,0.47,
32 Airdrie Avenue, Seaton,5023,$380 per week,380,SA,1,1520,851.2,883.8,0.51,
6 Mcewan Avenue, Seaton,5023,$375 per week,375,SA,1,1500,840,895,0.52,
16/166 Trimmer Parade, Seaton,5023,$370 per week,370,SA,1,1480,828.8,906.2,0.52,
43 Brenthorpe Road, Seaton,5023,$350 per week,350,SA,1,1400,784,951,0.55,
10 Fourth Avenue, Seaton,5023,$350 wk,350,SA,1,1400,784,951,0.55,
25 Alfred Avenue, Seaton,5023,$350 wk,350,SA,1,1400,784,951,0.55,
30 Risely Ave, Seaton,5023,$330 wk,330,SA,1,1320,739.2,995.8,0.57,
5 Irwin Street, Seaview Downs,5049,$450pw,450,NA,NA,1800,1008,727,0.42,
12 Harrow Road, Somerton Park,5044,SHORT TERM LEASE ONLY,NA,NA,NA,NA,NA,NA,NA,
99 Harding Street, Somerton Park,5044,$350 per week,350,NA,NA,1400,784,951,0.55,
7/55 Tarlton Street, Somerton Park,5044,$420 Per Week,420,NA,NA,1680,940.8,794.2,0.46,
12 Benny Crescent, South Brighton,5048,$380 per week,380,SA,1,1520,851.2,883.8,0.51,P- public transport
9 Eucalypt Parade, St Agnes,5097,$330 per week,330,SA,0.83,1320,739.2,995.8,0.57,
31 Third Ave, St Morris,5068,$420 per week,420,NA,NA,1680,940.8,794.2,0.46,
223A Payneham Road, St Peters,5069,$450 Per Week,450,SA,0,1800,1008,727,0.42,
26 Wheaton Road, Stepney,5069,$400,400,SA,0,1600,896,839,0.48,
21 Callitris Avenue, Surrey Downs,5126,$360 per week,360,NA,NA,1440,806.4,928.6,0.54,
6/412 Yatala Vale Road, Surrey Downs,5126,$340pw,340,NA,NA,1360,761.6,973.4,0.56,
10 Joycelyn Avenue, Surrey Downs,5126,$350,350,NA,NA,1400,784,951,0.55,
23 Parkview Drive, Tea Tree Gully,5091,$430 Per Week,430,SA,1,1720,963.2,771.8,0.44,
14c Holland Street, Thebarton,5031,$350 per week,350,NA,NA,1400,784,951,0.55,
8  Torrens Street, Torrensville,5031,$370 per week,370,NA,NA,1480,828.8,906.2,0.52,
29 Hinton Street, Underdale,5032,$445 per week,445,SA,0,1780,996.8,738.2,0.43,
4/4  Howard Street, Underdale,5032,$395 per week,395,SA,0,1580,884.8,850.2,0.49,
7 Pearse Street, Underdale,5032,$450 per week,450,SA,0,1800,1008,727,0.42,
12/25 Frederick Street, Unley,5061,$420 per week,420,SA,1,1680,940.8,794.2,0.46,P - good but townhouse
Unit 2/131 Greenhill Road, Unley,5061,$410 per week,410,SA,1,1640,918.4,816.6,0.47,
4 Orkney Lane, Vista,5091,415-450pw range,415,SA,1,1660,929.6,805.4,0.46,
143 Perseverance Rd, Vista,5091,$330 per week,330,SA,1,1320,739.2,995.8,0.57,
11 Cairns Avenue, Warradale,5046,$380,380,NA,NA,1520,851.2,883.8,0.51,
1/192 Diagonal Road, Warradale,5046,$360 Per Week,360,NA,NA,1440,806.4,928.6,0.54,
17 Ailsa Avenue, Warradale,5046,$450 Per Week,450,NA,NA,1800,1008,727,0.42,
10 Ulva Avenue, Warradale,5046,$440 Per Week,440,NA,NA,1760,985.6,749.4,0.43,
56 Railway Terrace, Warradale,5046,$340 per week,340,NA,NA,1360,761.6,973.4,0.56,
23B Lincoln Avenue, Warradale,5046,$410 per week,410,NA,NA,1640,918.4,816.6,0.47,
19B  Lincoln Ave, Warradale,5046,$430 per week,430,NA,NA,1720,963.2,771.8,0.44,
511 Kensington Road, Wattle Park,5066,$440 per week,440,NA,NA,1760,985.6,749.4,0.43,
5A Crompton Drive, Wattle Park,5066,$430 per week,430,NA,NA,1720,963.2,771.8,0.44,
27a  Crompton Drive, Wattle Park,5066,$395 per week,395,NA,NA,1580,884.8,850.2,0.49,
11/311 Young Street, Wayville,5034,$400 per week,400,SA,1,1600,896,839,0.48,P - student style 1st flr flat
9 Weston St, West Beach,5024,$370 per week,370,NA,NA,1480,828.8,906.2,0.52,
13 Charles Veale Drive, West Beach,5024,$360 p.w.,360,NA,NA,1440,806.4,928.6,0.54,
8/20 Seaview Road, West Beach,5024,$350 per week,350,NA,NA,1400,784,951,0.55,
75 Jervois Avenue, West Hindmarsh,5007,$415 Per Week,415,SA,0.82,1660,929.6,805.4,0.46,
2 BOURN AVENUE, West Hindmarsh,5007,$390 per week,390,SA,0.82,1560,873.6,861.4,0.5,
96b Onkaparinga Valley Road, Woodside,5244,$415 per week,415,NA,NA,1660,929.6,805.4,0.46,
6 Schwab Rd, Woodside,5244,Negotiable,NA,NA,NA,NA,NA,NA,NA,
1/54 Moffett Street, Woodside,5244,$340 per week,340,NA,NA,1360,761.6,973.4,0.56,
7 View Road, Woodside,5244,$320 per week,320,NA,NA,1280,716.8,1018.2,0.59,
4 Lochhead Court, Wynn Vale,5127,NA,NA,SA,1,NA,NA,NA,NA,
57 Greenridge Court, Wynn Vale,5127,$450pw,450,SA,1,1800,1008,727,0.42,
5 Murphy Street, Wynn Vale,5127,$395 per week,395,SA,1,1580,884.8,850.2,0.49,
10 Creekvale Court, Wynn Vale,5127,$380 per week,380,SA,1,1520,851.2,883.8,0.51,
10 Egret Ct, Wynn Vale,5127,$380,380,SA,1,1520,851.2,883.8,0.51,
6  Grace Court, Wynn Vale,5127,$360 per week,360,SA,1,1440,806.4,928.6,0.54,
9 Chardonnay Cres, Wynn Vale,5127,$360 per week,360,SA,1,1440,806.4,928.6,0.54,
15 Hillcott Ave, Wynn Vale,5127,340,340,SA,1,1360,761.6,973.4,0.56,